FID,Profile_No,Horizon Sequence,State,District,Block,Village,texture,Sand,Silt,Clay,ph,ec,organic_carbon,nitrogen,phosphorus,potassium,texture_score
50,P19,AP,Maharashtra,Akola,Barshitakli,Morhal,Gravely Clay,4.8,27.1,68.1,6.8,0.11,0.97,125.8,17.4,489.6,45
51,P19,AP,Maharashtra,Akola,Barshitakli,Morhal,Gravely Clay,4.8,27.1,68.1,6.8,0.11,0.97,125.8,17.4,489.6,45
53,P19,AP,Maharashtra,Akola,Barshitakli,Morhal,Gravely Clay,4.8,27.1,68.1,6.8,0.11,0.97,125.8,17.4,489.6,45
54,P8,Ap_BW1_BW2_BSS1_BSS2,Maharashtra,Akola,Barshitakli,Morhal,Clay,6.6,26.8,66.7,8.0,0.13,0.81,119.7,17.2,497.8,65
55,P21,Ap_BW,Maharashtra,Akola,Barshitakli,Morhal,Gravely Clay,18.1,29.2,52.7,7.5,0.09,0.8,144.6,23.3,707.5,45
57,P28,Ap_BW1_BW2_Bss,Maharashtra,Akola,Barshitakli,Chinchkhed Bk.,Clay,1.7,19.9,78.4,7.9,0.18,1.41,169.1,30.8,2337.8,65
59,P19,AP,Maharashtra,Akola,Barshitakli,Chinchkhed Bk.,Gravely Clay,4.8,27.1,68.1,6.8,0.11,0.97,125.8,17.4,489.6,45
60,P5,Ap_BW,Maharashtra,Akola,Barshitakli,Chinchkhed Bk.,Gravely Clay,11.9,20.1,68,7.8,0.09,0.98,143.8,39.7,509.0,45
63,P19,AP,Maharashtra,Akola,Barshitakli,Dhakali,Gravely Clay,4.8,27.1,68.1,6.8,0.11,0.97,125.8,17.4,489.6,45
64,P12,Ap_Bw,Maharashtra,Akola,Barshitakli,Dhakali,Clay,13.2,30.7,56.1,7.8,0.21,0.67,121.9,24.6,500.9,65
65,P37,Ap_BW,Maharashtra,Akola,Barshitakli,Dhakali,Gravely Clay,12.6,21.3,66.1,7.2,0.11,1.19,178.3,14.6,102.8,45
66,P17,Ap_BW,Maharashtra,Akola,Barshitakli,Dhakali,Gravely Clay,3.2,25.5,71.3,5.9,0.14,1.41,293.5,12.5,637.9,45
67,P17,Ap_BW,Maharashtra,Akola,Barshitakli,Dhakali,Gravely Clay,3.2,25.5,71.3,5.9,0.14,1.41,293.5,12.5,637.9,45
68,P17,Ap_BW,Maharashtra,Akola,Barshitakli,Dhakali,Gravely Clay,3.2,25.5,71.3,5.9,0.14,1.41,293.5,12.5,637.9,45
69,P19,AP,Maharashtra,Akola,Barshitakli,Dhakali,Gravely Clay,4.8,27.1,68.1,6.8,0.11,0.97,125.8,17.4,489.6,45
